person,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,in_frame_sample,group,contact_traced_covid_cases
79,1998,Stayed the Same,Decreased,Decreased,Increased,Stayed the Same,Government regulations,CECRA,"NA",Yes,6 months to less than 12 months,Yes,Korean,No,Yes,Yes,"NA",Yes,1,1,8
81,1970,Stayed the Same,Increased,Decreased,Increased,Decreased,Recruiting and training skilled employees,None of the Above,Lack of awareness,Yes,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,5
85,1915,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Increased,Rent expenses,Loan from Family or Friends,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
88,1967,Increased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,12 months or more,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,8
92,1982,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Other,Other,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,13
93,1910,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Shortage of space and equipment,CEBA,"NA",Don't Know,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
100,1947,Decreased,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Rent expenses,CERS,"NA",Don't Know,Less than 1 month,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,0
110,1993,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Supply chain challenges,CEBA,"NA",Yes,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,0
115,1984,Decreased,Stayed the Same,Stayed the Same,Increased,Decreased,Insufficent and/or fluctuating customer demand,CEBA,"NA",Don't Know,Less than 1 month,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,4
116,1984,Decreased,Decreased,Stayed the Same,Stayed the Same,Decreased,Shortage of space and equipment,CECRA,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
122,1978,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Increasing competition,CEWS,"NA",Yes,Not considering permanent closure or bankrupcy,Yes,South Asian,Yes,Yes,Yes,"NA",Yes,1,1,6
126,1902,Stayed the Same,Decreased,Decreased,Increased,Stayed the Same,Government regulations,Loan from Family or Friends,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,12
127,1935,Stayed the Same,Increased,Increased,Increased,Decreased,Insufficent and/or fluctuating customer demand,"Provincial, Territorial or Municipal Government Programs","NA",No,6 months to less than 12 months,No,"NA",No,No,"NA","NA",Yes,1,1,7
132,1937,Increased,Increased,Decreased,Increased,Decreased,Shortage of space and equipment,Loan from Family or Friends,"NA",Yes,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
138,1961,Decreased,Increased,Increased,Increased,Decreased,Shortage of labour force,None of the Above,Lack of awareness,Yes,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,5
142,1930,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Other,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,1,1
144,1921,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Cost of delivery and take out,Financial Institution (Term Loan or Line-of-Credit,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
148,1913,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Government regulations,CECRA,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
154,1936,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Insufficent and/or fluctuating customer demand,Other,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
155,2009,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,"NA",Loan from Family or Friends,"NA",Yes,12 months or more,Yes,Arab,No,Yes,Yes,"NA",Yes,1,1,5
168,1908,Increased,Increased,Increased,Decreased,Stayed the Same,Shortage of labour force,Other,"NA",Don't Know,Less than 1 month,Yes,South Asian,No,No,"NA","NA",Yes,1,1,2
170,2016,Increased,Stayed the Same,Stayed the Same,Increased,Decreased,"NA",CEBA,"NA",Yes,Less than 1 month,Yes,Multiple Visible Minority,No,No,"NA","NA",Yes,1,1,10
172,2020,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
178,1973,Stayed the Same,Increased,Decreased,Increased,Stayed the Same,Supply chain challenges,CERS,"NA",No,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,8
180,2014,Decreased,Stayed the Same,Decreased,Decreased,Increased,Insufficent and/or fluctuating customer demand,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
182,2008,Increased,Stayed the Same,Decreased,Decreased,Decreased,Cost of insurance,CEBA,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
184,1989,Stayed the Same,Decreased,Decreased,Stayed the Same,Decreased,Rent expenses,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
187,1905,Decreased,Increased,Decreased,Increased,Increased,Cost of delivery and take out,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
188,1986,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of delivery and take out,CEWS,"NA",Don't Know,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,12
191,1964,Decreased,Stayed the Same,Stayed the Same,Increased,Decreased,Shortage of labour force,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
192,2020,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Shortage of labour force,None of the Above,Did not meet eligibility requirements,No,Don't Know,No,"NA",No,No,"NA","NA",Yes,1,1,7
196,1996,Increased,Increased,Decreased,Increased,Decreased,Supply chain challenges,Other,"NA",Yes,3 months to less than 6 months,No,"NA",No,No,"NA","NA",Yes,1,1,5
199,1924,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Maintaining sufficient cash flow or managing debt,"Provincial, Territorial or Municipal Government Programs","NA",No,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,12
208,1924,Decreased,Stayed the Same,Decreased,Decreased,Decreased,Shortage of labour force,Temporary 10% Wage Subsidy,"NA",Don't Know,Don't Know,No,"NA",No,Yes,"No, but our business used to use it",I don't understand how these platforms work,Yes,1,1,7
214,1908,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Cost of delivery and take out,Other,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
218,1937,Decreased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Other,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
219,1954,Stayed the Same,Increased,Decreased,Increased,Decreased,Supply chain challenges,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,Less than 1 month,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,6
226,1924,Stayed the Same,Decreased,Decreased,Stayed the Same,Increased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",No,12 months or more,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,1
227,1927,Decreased,Stayed the Same,Decreased,Stayed the Same,Increased,"NA",CEBA,"NA",Don't Know,Less than 1 month,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,9
229,1970,Stayed the Same,Increased,Stayed the Same,Increased,Decreased,Shortage of labour force,Financial Institution (Term Loan or Line-of-Credit,"NA",No,Less than 1 month,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,6
261,1987,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Recruiting and training skilled employees,CEBA,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
263,1960,Stayed the Same,Decreased,Decreased,Stayed the Same,Decreased,Shortage of labour force,Regional Relief and Recovery Fund,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
266,2005,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Supply chain challenges,CEBA,"NA",No,6 months to less than 12 months,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,4
267,1919,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Increasing competition,Temporary 10% Wage Subsidy,"NA",Don't Know,3 months to less than 6 months,Yes,Black,No,Yes,Yes,"NA",Yes,1,1,6
271,2013,Stayed the Same,Increased,Decreased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
272,1911,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Rent expenses,Loan from Family or Friends,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,2
279,1924,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Supply chain challenges,CEBA,"NA",Yes,Don't Know,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,11
282,1958,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Other,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,12
286,1979,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Supply chain challenges,Temporary 10% Wage Subsidy,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
291,1945,Stayed the Same,Decreased,Decreased,Decreased,Increased,Other,"Provincial, Territorial or Municipal Government Programs","NA",No,6 months to less than 12 months,Yes,Chinese,No,No,"NA","NA",Yes,1,1,8
298,1966,Stayed the Same,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Cost of delivery and take out,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,Not considering permanent closure or bankrupcy,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,6
300,1961,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Increasing competition,CEBA,"NA",No,12 months or more,No,"NA",No,No,"NA","NA",Yes,1,1,5
303,1927,Decreased,Stayed the Same,Decreased,Decreased,Stayed the Same,High speed internet,CEBA,"NA",No,Less than 1 month,Yes,Chinese,Yes,Yes,Yes,"NA",Yes,1,1,3
305,1995,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Government regulations,CEWS,"NA",No,Not considering permanent closure or bankrupcy,Yes,South Asian,No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,4
308,1979,Stayed the Same,Decreased,Decreased,Increased,Decreased,Supply chain challenges,CEBA,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
309,1981,Increased,Stayed the Same,Decreased,Decreased,Decreased,Other,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Yes,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,1,3
314,2010,Increased,Stayed the Same,Stayed the Same,Increased,Decreased,Government regulations,CERS,"NA",Don't Know,Don't Know,No,"NA",Yes,No,"NA","NA",Yes,1,1,7
315,1994,Stayed the Same,Increased,Decreased,Increased,Stayed the Same,Government regulations,Regional Relief and Recovery Fund,"NA",No,12 months or more,Yes,Chinese,No,No,"NA","NA",Yes,1,1,1
317,1932,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Shortage of space and equipment,CEWS,"NA",No,6 months to less than 12 months,Yes,Black,Yes,Yes,Yes,"NA",Yes,1,1,4
322,1973,Stayed the Same,Decreased,Decreased,Increased,Decreased,Government regulations,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
327,1966,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Shortage of labour force,Other,"NA",Yes,1 month to less than 3 months,Yes,South Asian,Yes,Yes,Yes,"NA",Yes,1,1,0
328,1961,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Decreased,Rising cost of inputs,Regional Relief and Recovery Fund,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,0
330,1969,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,High speed internet,Regional Relief and Recovery Fund,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
331,2003,Decreased,Increased,Decreased,Increased,Decreased,Cost of delivery and take out,"Provincial, Territorial or Municipal Government Programs","NA",Don't Know,Don't Know,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,5
336,1946,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Rent expenses,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,0
337,1927,Stayed the Same,Stayed the Same,Increased,Increased,Stayed the Same,Shortage of space and equipment,None of the Above,Did not meet eligibility requirements,Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
339,1960,Stayed the Same,Decreased,Decreased,Decreased,Increased,Increasing competition,CECRA,"NA",No,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,6
347,1931,Decreased,Stayed the Same,Decreased,Increased,Decreased,Cost of delivery and take out,None of the Above,Waiting for approval or submitting application,Don't Know,1 month to less than 3 months,No,"NA",Yes,No,"NA","NA",Yes,1,1,1
350,1989,Stayed the Same,Decreased,Stayed the Same,Increased,Increased,Increasing competition,CECRA,"NA",Don't Know,Not considering permanent closure or bankrupcy,Yes,Chinese,No,No,"NA","NA",Yes,1,1,9
359,2014,Decreased,Decreased,Increased,Increased,Decreased,Cost of delivery and take out,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
364,2019,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Government regulations,CECRA,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
365,1905,Stayed the Same,Stayed the Same,Increased,Decreased,Decreased,Other,"Provincial, Territorial or Municipal Government Programs","NA",Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
366,1951,Stayed the Same,Decreased,Stayed the Same,Increased,Decreased,Rising cost of inputs,CERS,"NA",No,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
369,1940,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Government regulations,Loan from Family or Friends,"NA",No,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
376,1964,Decreased,Stayed the Same,Decreased,Increased,Stayed the Same,Rent expenses,Temporary 10% Wage Subsidy,"NA",Don't Know,6 months to less than 12 months,Yes,Black,No,Yes,Yes,"NA",No,1,1,7
384,1903,Decreased,Decreased,Increased,Increased,Stayed the Same,Increasing competition,CECRA,"NA",Don't Know,Don't Know,No,"NA",No,Yes,"No, but our business used to use it",I don't trust these platforms,Yes,1,1,4
390,1964,Decreased,Stayed the Same,Decreased,Stayed the Same,Stayed the Same,Rent expenses,Regional Relief and Recovery Fund,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
391,2013,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Other,Other,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
396,1903,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,"NA",Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,7
399,1994,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Cost of insurance,Regional Relief and Recovery Fund,"NA",Yes,3 months to less than 6 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
401,1962,Decreased,Stayed the Same,Decreased,Increased,Stayed the Same,Cost of insurance,None of the Above,Waiting for approval or submitting application,No,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,7
402,1913,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Decreased,Insufficent and/or fluctuating customer demand,Other,"NA",Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
405,2014,Increased,Increased,Stayed the Same,Increased,Decreased,"NA",Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
410,2000,Increased,Increased,Decreased,Increased,Decreased,Other,Other,"NA",Yes,Less than 1 month,Yes,Southeast Asian,No,Yes,Yes,"NA",Yes,1,1,5
413,1980,Decreased,Decreased,Decreased,Increased,Decreased,Rising cost of inputs,None of the Above,Funding or credit not needed,No,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
414,1932,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Stayed the Same,Recruiting and training skilled employees,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,Not considering permanent closure or bankrupcy,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,7
415,1907,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Rent expenses,Temporary 10% Wage Subsidy,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,9
416,2006,Stayed the Same,Increased,Decreased,Increased,Decreased,"NA",Regional Relief and Recovery Fund,"NA",Don't Know,1 month to less than 3 months,No,"NA",No,No,"NA","NA",Yes,1,1,3
424,1944,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Increased,Maintaining sufficient cash flow or managing debt,CEBA,"NA",Yes,1 month to less than 3 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
425,1995,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Decreased,"NA",CERS,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,1
426,1957,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Insufficent and/or fluctuating customer demand,Loan from Family or Friends,"NA",No,3 months to less than 6 months,Yes,Chinese,Yes,Yes,Yes,"NA",Yes,1,1,6
428,2000,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,Recruiting and training skilled employees,CEBA,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,14
432,1984,Stayed the Same,Decreased,Decreased,Decreased,Decreased,Other,CECRA,"NA",Yes,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,10
434,1931,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Increased,Insufficent and/or fluctuating customer demand,Financial Institution (Term Loan or Line-of-Credit,"NA",Yes,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
439,1940,Decreased,Decreased,Decreased,Increased,Decreased,"NA",Loan from Family or Friends,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,1
441,1985,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Government regulations,Loan from Family or Friends,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,No,"NA","NA",Yes,1,1,3
443,2014,Increased,Increased,Increased,Increased,Decreased,Government regulations,Temporary 10% Wage Subsidy,"NA",No,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
450,1945,Stayed the Same,Decreased,Increased,Increased,Decreased,Cost of delivery and take out,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,6 months to less than 12 months,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
451,1946,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Supply chain challenges,Loan from Family or Friends,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,7
452,2006,Stayed the Same,Stayed the Same,Decreased,Decreased,Decreased,Rent expenses,Temporary 10% Wage Subsidy,"NA",Yes,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,4
464,2012,Stayed the Same,Decreased,Decreased,Increased,Decreased,Government regulations,Loan from Family or Friends,"NA",Don't Know,Less than 1 month,Yes,Chinese,Yes,Yes,Yes,"NA",Yes,1,1,4
468,1941,Decreased,Stayed the Same,Decreased,Increased,Decreased,Government regulations,CECRA,"NA",No,Don't Know,Yes,Latin American,No,Yes,Yes,"NA",Yes,1,1,4
469,1923,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Cost of delivery and take out,CEWS,"NA",Yes,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
470,1946,Stayed the Same,Increased,Stayed the Same,Increased,Stayed the Same,Government regulations,Other,"NA",Yes,12 months or more,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,2
471,1932,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Recruiting and training skilled employees,Regional Relief and Recovery Fund,"NA",No,6 months to less than 12 months,No,"NA",No,Yes,No,"NA",Yes,1,1,4
474,1958,Stayed the Same,Decreased,Decreased,Increased,Decreased,Maintaining sufficient cash flow or managing debt,CECRA,"NA",Yes,Less than 1 month,No,"NA",No,No,"NA","NA",Yes,1,1,3
475,1913,Stayed the Same,Stayed the Same,Decreased,Decreased,Increased,Maintaining sufficient cash flow or managing debt,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",Don't Know,Less than 1 month,No,"NA",No,Yes,"No, but our business is considering it","NA",Yes,1,1,7
486,1951,Decreased,Stayed the Same,Decreased,Stayed the Same,Decreased,Cost of delivery and take out,Loan from Family or Friends,"NA",Yes,12 months or more,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,5
487,2018,Stayed the Same,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Government regulations,Other,"NA",Yes,12 months or more,No,"NA",No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,1
497,1906,Stayed the Same,Stayed the Same,Increased,Increased,Increased,Cost of insurance,CEWS,"NA",Yes,12 months or more,Yes,Chinese,No,Yes,Yes,"NA",Yes,1,1,6
502,1921,Stayed the Same,Increased,Stayed the Same,Decreased,Decreased,Rising cost of inputs,CECRA,"NA",No,Don't Know,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
507,1936,Stayed the Same,Stayed the Same,Decreased,Stayed the Same,Decreased,Recruiting and training skilled employees,Regional Relief and Recovery Fund,"NA",Yes,3 months to less than 6 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,11
508,1937,Stayed the Same,Decreased,Decreased,Increased,Decreased,Cost of insurance,CECRA,"NA",No,3 months to less than 6 months,No,"NA",No,No,"NA","NA",Yes,1,1,2
509,2007,Increased,Decreased,Decreased,Decreased,Decreased,Rent expenses,CERS,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,3
514,1953,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,High speed internet,None of the Above,Waiting for approval or submitting application,Don't Know,3 months to less than 6 months,No,"NA",No,No,"NA","NA",Yes,1,1,2
516,1901,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Shortage of space and equipment,CEBA,"NA",No,6 months to less than 12 months,Yes,West Asian,No,Yes,Yes,"NA",Yes,1,1,4
521,1929,Stayed the Same,Stayed the Same,Stayed the Same,Increased,Decreased,"NA",CERS,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
524,1934,Stayed the Same,Stayed the Same,Decreased,Increased,Increased,Shortage of labour force,CEWS,"NA",Don't Know,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,1
527,2005,Decreased,Decreased,Increased,Increased,Decreased,High speed internet,CEBA,"NA",Yes,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,9
